,user_id,label,all_launch_count,last_launch,all_video_count,last_video,all_action_count,last_action,all_action_day,register_type,day,device_type,register_day
0,16,1,3,15,0,0,57,15,3,0,13,2010,12
1,98,0,1,16,1,16,1,16,1,0,16,28,15
2,105,1,4,16,0,0,294,15,3,2,12,5,11
3,218,1,6,16,0,0,343,16,6,1,11,1144,10
4,225,1,1,7,0,0,30,7,1,1,7,582,6
5,336,0,4,11,0,0,88,11,3,2,1,188,0
6,422,0,1,5,0,0,0,0,0,4,5,13,4
7,607,0,1,1,0,0,5,1,1,0,1,8,0
8,711,0,1,6,0,0,5,6,1,1,6,16,5
9,746,0,1,14,0,0,2,14,1,0,14,593,13
10,901,1,1,14,0,0,8,14,1,1,14,399,13
11,973,1,5,14,4,14,336,14,5,1,4,35,3
12,1014,1,2,16,1,16,46,16,1,2,8,7,7
13,1036,1,3,15,0,0,129,15,3,1,13,5101,12
14,1039,1,14,16,0,0,875,16,14,1,1,13,0
15,1296,1,5,16,8,16,184,16,4,1,11,5,10
16,1308,1,4,16,0,0,571,16,4,2,3,36,2
17,1330,0,1,16,0,0,2,16,1,0,16,0,15
18,1340,0,1,10,0,0,1,10,1,5,10,10,9
19,1344,1,2,12,0,0,72,12,2,0,10,50,9
20,1406,0,2,10,0,0,50,10,2,0,7,515,6
21,1407,1,1,6,0,0,16,6,1,1,6,324,5
22,1438,1,4,8,0,0,9,1,1,1,1,28,0
23,1506,1,5,16,0,0,2912,16,5,2,12,213,11
24,1561,0,1,12,0,0,0,0,0,1,12,10,11
25,1581,0,1,6,0,0,34,6,1,1,6,98,5
26,1720,0,1,12,0,0,0,0,0,1,12,2,11
27,1773,1,3,15,0,0,223,15,3,1,13,21,12
28,1776,1,2,16,0,0,16,16,2,0,15,7,14
29,1865,1,5,11,0,0,162,11,4,0,6,3,5
30,1938,0,3,4,1,2,565,4,3,1,2,10,1
31,1977,1,1,16,0,0,37,16,1,0,16,10,15
32,1995,1,2,15,0,0,288,15,2,0,14,23,13
33,2040,1,4,14,2,9,78,13,2,0,9,1220,8
34,2068,1,1,16,1,16,5,16,1,1,16,35,15
35,2089,1,7,16,0,0,84,16,7,0,5,43,4
36,2180,1,7,16,0,0,186,16,7,0,1,11,0
37,2276,0,4,13,3,12,154,13,4,0,10,14,9
38,2335,1,2,16,0,0,232,16,2,1,15,138,14
39,2439,0,5,16,17,13,529,16,5,0,11,31,10
40,2526,0,2,12,0,0,111,12,2,0,11,56,10
41,2640,0,7,11,0,0,1236,11,7,0,5,10,4
42,2687,0,1,11,0,0,0,0,0,0,11,0,10
43,2736,0,5,13,0,0,317,13,5,1,5,5946,4
44,2783,1,8,16,0,0,861,16,8,1,6,212,5
45,2914,1,2,16,3,14,19,16,2,0,14,23,13
46,2944,1,1,14,0,0,1,14,1,0,14,899,13
47,2952,1,1,14,0,0,1,14,1,0,14,852,13
48,3035,0,1,3,0,0,0,0,0,1,3,121,2
49,3178,1,4,12,0,0,92,12,4,0,7,6,6
50,3197,1,1,16,0,0,164,16,1,0,16,5,15
51,3313,0,1,10,0,0,0,0,0,4,10,73,9
52,3369,0,1,5,0,0,24,5,1,0,5,2,4
53,3422,0,1,12,0,0,18,12,1,1,12,86,11
54,3440,1,1,7,0,0,0,0,0,0,7,88,6
55,3465,1,12,16,0,0,276,13,10,0,2,335,1
56,3500,1,4,16,0,0,228,16,4,1,13,549,12
57,3599,1,1,13,0,0,18,13,1,1,13,80,12
58,3688,1,3,16,0,0,15,9,1,0,9,3,8
59,3747,0,1,8,0,0,14,8,1,1,8,112,7
60,3786,1,4,16,0,0,72,15,3,0,7,65,6
61,3806,1,2,15,0,0,95,15,2,0,14,29,13
62,3883,0,1,14,1,14,5,14,1,6,14,10,13
63,3897,1,4,16,5,15,125,16,4,0,12,242,11
64,3940,0,2,14,0,0,0,0,0,1,13,8,12
65,3998,1,15,16,0,0,1474,16,15,2,2,15,1
66,4019,1,2,13,3,13,0,0,0,1,12,385,11
67,4029,0,2,10,0,0,41,10,2,0,9,34,8
68,4251,0,4,11,0,0,80,11,3,0,5,0,4
69,4278,1,7,15,0,0,1042,15,7,1,7,119,6
70,4305,0,1,12,0,0,0,0,0,1,12,120,11
71,4328,1,2,15,0,0,152,15,2,1,13,103,12
72,4370,0,6,12,2,4,490,12,6,0,3,27,2
73,4396,1,6,15,0,0,79,15,5,1,9,4840,8
74,4416,0,1,5,0,0,3,5,1,1,5,9,4
75,4447,1,1,15,0,0,1,15,1,1,15,15,14
76,4459,0,1,15,0,0,31,15,1,0,15,15,14
77,4505,0,1,10,0,0,0,0,0,0,10,16,9
78,4527,1,9,15,30,14,486,15,8,0,4,206,3
79,4615,0,1,2,0,0,78,2,1,0,2,8,1
80,4629,1,1,16,0,0,61,16,1,2,16,7,15
81,4725,0,1,14,0,0,70,14,1,2,14,533,13
82,4771,1,3,11,0,0,0,0,0,7,9,35,8
83,4790,1,3,12,4,8,16,8,2,2,2,68,1
84,4910,1,2,16,0,0,84,16,2,2,15,0,14
85,4955,1,9,16,0,0,1176,16,9,1,6,141,5
86,4964,0,1,14,0,0,1,14,1,0,14,262,13
87,4965,1,7,15,0,0,1189,15,7,2,7,158,6
88,4977,0,1,3,0,0,2,3,1,0,3,101,2
89,4980,1,5,12,0,0,111,12,5,1,7,17,6
90,4998,0,2,12,0,0,38,12,2,0,11,14,10
91,5006,1,5,14,0,0,28,12,3,0,9,8,8
92,5065,0,1,6,0,0,5,6,1,1,6,42,5
93,5241,1,1,16,0,0,12,16,1,0,16,17,15
94,5251,1,1,15,0,0,105,15,1,2,15,34,14
95,5261,0,1,13,0,0,2,13,1,1,13,16,12
96,5274,0,1,11,0,0,93,11,1,1,11,7,10
97,5283,0,2,16,0,0,94,15,1,2,15,81,14
98,5349,0,1,1,0,0,0,0,0,0,1,2,0
99,5498,1,1,16,0,0,5,16,1,0,16,2,15
100,5565,0,1,2,0,0,9,2,1,1,2,25,1
101,5661,0,2,10,0,0,1,9,1,0,9,2,8
102,5764,0,2,16,0,0,30,16,2,0,15,2,14
103,5789,1,3,14,0,0,328,14,3,0,6,305,5
104,5856,1,4,15,0,0,6,15,3,2,12,382,11
105,5861,1,4,16,5,15,319,16,4,4,13,2413,12
106,5905,1,1,11,0,0,23,11,1,0,11,0,10
107,5989,0,11,16,4,11,578,15,7,4,4,112,3
108,6019,1,13,16,5,14,2161,16,13,1,1,139,0
109,6089,0,1,6,0,0,1,6,1,1,6,41,5
110,6224,1,1,15,0,0,150,15,1,2,15,58,14
111,6226,0,4,15,0,0,183,15,4,1,10,41,9
112,6238,1,1,16,0,0,27,16,1,1,16,9,15
113,6285,0,1,7,0,0,27,7,1,1,7,58,6
114,6329,1,15,16,0,0,1939,16,15,0,1,220,0
115,6336,1,2,10,0,0,14,10,2,0,7,28,6
116,6406,1,10,16,0,0,853,16,9,1,5,2404,4
117,6420,0,1,7,0,0,100,7,1,1,7,16,6
118,6443,0,3,9,0,0,66,9,3,0,7,167,6
119,6501,0,5,13,1,5,74,13,5,1,5,12,4
120,6555,1,2,16,0,0,23,16,2,1,15,8,14
121,6748,0,1,13,0,0,0,0,0,1,13,209,12
122,6766,0,1,7,0,0,0,0,0,0,7,2,6
123,6768,0,1,13,0,0,57,13,1,2,13,56,12
